Server,Region,CPU_pct,Memory_pct,Disk_pct,Requests_per_sec,Errors_per_min,Uptime_days,Status
web-01,us-east-1,62.4,78.1,45.2,1423,0.8,182,Healthy
web-02,us-east-1,58.9,71.3,43.7,1387,1.1,182,Healthy
web-03,us-west-2,41.2,65.8,38.1,982,0.3,95,Healthy
db-primary,us-east-1,34.7,88.5,72.6,412,0.0,210,Healthy
db-replica-1,us-east-1,18.3,82.1,71.9,388,0.0,210,Healthy
db-replica-2,us-west-2,21.5,79.4,70.2,375,0.0,97,Healthy
cache-01,us-east-1,12.8,94.3,15.4,8241,0.0,182,Healthy
cache-02,us-west-2,10.1,91.7,14.8,7988,0.0,97,Healthy
worker-01,us-east-1,78.3,55.2,28.9,0,2.4,182,Warning
worker-02,us-east-1,81.6,58.7,31.2,0,3.1,182,Warning
worker-03,us-west-2,44.2,49.8,25.6,0,0.5,95,Healthy
worker-04,us-west-2,47.9,52.3,26.1,0,0.7,95,Healthy
lb-01,us-east-1,8.4,22.1,12.3,2810,0.4,365,Healthy
lb-02,us-west-2,6.7,19.8,11.9,1967,0.2,180,Healthy
monitor,us-east-1,5.2,38.4,55.8,0,0.0,365,Healthy
